name,processor,ram,storage,display,graphics,prices
SamsungGalaxyBook5360Laptop,IntelCoreUltra5,16GBLPDDR5XRAM,512GBSSD,15.6Inch(39.62cm)FHDAMOLEDDisplay,IntelARCGraphics,"1,14,990"
SamsungGalaxyBook5360Laptop,IntelCoreUltra7,16GBLPDDR5XRAM,512GBSSD,15.6Inch(39.62cm)FHDAMOLEDDisplay,IntelARCGraphics,"1,22,990"
StoreDisplayUnit-ASUSVivobook16,12thGenCorei5,16GBRAM,512GBSSD,16inch(40.64cm),IntelIrisXeGraphics,"48,990"
SamsungGalaxyBook3360Laptop,IntelCorei5,16GBRAM,512GBSSD,13.3Inch(33.78cm)FHDAMOLEDDisplay,IntelIrisXeGraphics,"1,04,990"
LenovoLOQGamingLaptop,12thGenCorei5,16GBRAM,512GBSSD,15.6Inch(39.62cm),6GBRTX™3050Graphics,"88,999"
AcerSwift14AILaptop,IntelCoreUltra5,16GBLPDDR5XRAM,512GBSSD,14Inch(35.56cm)OLEDDisplay,IntelARCGraphics,"85,990"
ASUSZenbook14AILaptop2025,IntelCoreUltra5Series2,16GBLPDDR5XRAM,1TBSSD,14Inch(35.56cm)OLEDDisplay,IntelArcGraphics,"1,25,990"
ASUSVivobook16AILaptop2025,IntelCoreUltra5,16GBRAM,512GBSSD,16Inch(40.64cm)WUXGADisplay,IntelGraphics,"77,990"
StoreDisplayUnit-DellInspiron3530Thin&LightLaptop,13thGenIntelCorei5,16GBRAM,512GBSSD,15.6inch,IntelUHDGraphics,"59,999"
StoreDisplayUnit-HPLaptop14AILaptop,IntelCoreUltra5125H,16GBRAM,512GBSSD,14inch(35.6cm)IntelArcGraphics,BacklitKB,"62,990"
DellInspiron14PlusLaptop,IntelCoreUltra7,16GBRAM,1TBStorage,14Inch(35.56cm)Display,IntelArcGraphics,"97,990"
StoreDisplayUnit-DellInspiron14Laptop,QualcommSnapdragonXPlus,16GBLPDDR5XRAM,512GBSSD,14Inch(35.56cm)FHDPlusIPSDisplay,QualcommAdrenoGraphics,"71,499"
StoreDisplayUnit-DellInspiron543013thGenLaptop,IntelCorei5-1335U,8GBLPDDR5RAM,512GBSSD,14Inch(35.56cm)FHD+Display,IntelIrisXEGraphics,"62,999"
StoreDisplayUnitHP15Laptop,AMDRyzen3,8GBRAM,512SSD,15.6inch(39.6cm)FHDDisplay,Thin&Light,"32,990"
